Name,InstallScriptBlock,Type,ShortcutLocation,InstallLocationdesktop
volatility3,volatility3,,""Artifact Tools","C:\ProgramData\chocolatey\bin\vol.exe"
Autopsy,autopsy,chocolatey,"Artifact Tools",desktop
SleuthKit,sleuthkit,chocolatey,"Artifact Tools",path
Arsenal Image Mounter,arsenalimagemounter,chocolatey,"Acquisition","C:\ProgramData\chocolatey\bin\ArsenalImageMounter.exe"
PhotoRec,photorec,chocolatey,"Artifact Tools",desktop
Dcode Date,dcode,chocolatey,"Artifact Tools",desktop
LibreOffice,libreoffice-fresh,chocolatey,Reporting,desktop
HxD,hxd,chocolatey,"Artifact Tools","C:\Program Files\HxD\HxD.exe"
Python,python,chocolatey,misc,path
Git,git,chocolatey,misc,path
dotnet4.5,dotnet4.5,chocolatey,misc,path
dotnet4.6.1,dotnet4.6.1,chocolatey,misc,path
notepad++,notepadplusplus.install,chocolatey,misc,"C:\ProgramData\chocolatey\bin\notepad++.exe"
7zip,7zip.install,chocolatey,misc,path
ExifTool,exiftool,chocolatey,"Artifact Tools","C:\ProgramData\chocolatey\lib\exiftool\tools\exiftool.exe"
BulkExtractor,bulk-extractor,chocolatey,"Artifact Tools",path
Aurora-IR,aurora-ir,chocolatey,"Artifact Tools","C:\ProgramData\chocolatey\bin\Aurora.exe"
sqlitebrowser,sqlitebrowser,chocolatey,"Artifact Tools",desktop
strings,strings,chocolatey,misc,path
CyberChef,cyberchef,chocolatey,"Artifact Tools",desktop
yara,yara,chocolatey,"Artifact Tools","C:\ProgramData\chocolatey\lib\yara\tools\yara64.exe"
